id	CIF	nomor_identitas	nama_sesuai_identitas	alamat
525	CUST000525	5523559464675060	Agnes Faizah Mayasari	Jalan Reksoninten 241, Kediri Jawa Timur
526	CUST000526	5457906329359260	Baktiadi Situmorang	Jalan Baranang Siang No. 189 Kalimantan
527	CUST000527	5513356044383860	Padmasari Radna Puri	Wahidin Sudirohusodo No. 799, Kupang 58166, NTT
528	CUST000528	453273124486686O	I Gede Wayan	Jl. Nangka Selatan No. 163 Denpasar – Bali
529	CUST000529	5549525421263710	Ratih Rahayu Wastuti M.Kom.	Ds. Baranang No. 878, Tanjungbalai 49900, Sumatera Utara
530	CUST000530	5130625283796430	Bakda Sitorus	Jln. Gajah No. 370, Bontang 94921
531	CUST000531	4556042253011460	Mustika Wibowo	Pasar Honggowongso No. 650, Cimahi 14565, Gorontalo
532	CUST000532	4556042253011460	Mustika Wibowo	Pasar Honggowongso No. 650, Cimahi 14565, Gorontalo
533	CUST000533	5560632972222670	Queen Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
534	CUST000534	536413356927236O	Hamzah Tasdik Megantara S.H.	Jln. Samanhudi No. 297, Malang 61901, BaBel
535	CUST000535	5557286897432380	Mursita Surya Irawan	Jln. R.M. Said No. 980, Pangkal Pinang 64241, SumBar
536	CUST000536	6011019242000170	Astuti Lili	Jln. Panjaitan No. 382, Malang 63501, JaTim
537	CUST000537	4916783784508580	Muhamad	Psr. Ekonomi No. 258, Palu 92383, Sulawesi tengah
538	CUST000538	4485320794748760	Drajat H.	Kpg. Jagakarsa No. 675, Cilegon 54605, Banten
539	CUST000539	5588228266984940	Husada Amelia Unjani	Jln. Sugiono 914, Tangerang 63470, Banten
540	CUST000540	5531142200907990	Shania Pujiastuti	Desa Bappenas  90, Banjar 34849, Jawa Barat
541	CUST000541	5557286897432380	Mursita Surya Irawan	Jln. R.M. Said No. 980, Pangkal Pinang 64241, SumBar
542	CUST000542	5306846665376680	Cemani Maheswara	Gg. Moch. Yamin No. 330, Probolinggo 26035, Jatim
543	CUST000543	5295994750697000	Eka Pradana	Kpg. Madiun No. 67, Administrasi Jakarta Pusat
544	CUST000544	542874854 0753890	Dinda Padma Hastuti	Jalan. Cikutra Barat 598, Langsa, Aceh
545	CUST000545	5364642336259190	Ellis Haryanti	Dk. Nanas No. 870, Cimahi 65113, Jabar
546	CUST000546	5541779462110780	Zahra Indah Agustina	Gang Untung Suropati No. 953, Bau-Bau 43478, Sulawesi Tenggara
547	CUST000547	5505004834695600	Latupono Lantar Gilang	Psr. Muwardi No. 682, Bau-Bau 77977, Sulawesi Tenggara
548	CUST000548	5467715091864550	Manah Zulkarnain	Jalan Baung No. 285, Langsa 85710, Aceh
549	CUST000549	510943428766323O	Kadir Rajasa	Desa Sentot Alibasa 92, Banjarmasin Kalimantan Selatan
550	CUST000550	4024007130732770	Yulianti Hesti Iriana 	Jln. Tubagus Ismail No. 295, Administrasi Jakarta Selatan
551	CUST000551	5541779462110780	Zahra Indah Agustina	Gg. Untung Suropati No. 953, Bau-Bau 43478, Sulawesi Tenggara
552	CUST000552	5272108387968490	Langgeng Jaka Natsir	Kampung Radio no 348 Tanjungbalai
553	CUST000553	5576267396681980	Madi Budi Yanto	Jl. Tentara Pelajar 658, Solok Sumatera barat
554	CUST000554	5126480855572470	Irnanto Suryono S.I.Kom	Gg. Tubagus Ismail No. 848, Administrasi Jakarta Timur
555	CUST000555	4916783784508580	Muhammad	Psr. Ekonomi No. 258, Palu 92383, Sulawesi tengah
556	CUST000556	4412854937087760	Ani Ida Mandasari S.IP	Jln. Baan No. 360, Tebing Tinggi 31421, Riau
557	CUST000557	5414991088771110	Ichsan Suwarno	Ki. Dahlia No. 543, Madiun 25474, JaTim
558	CUST000558	5577991734992030	Ami Rachel Wulandari	Gg. Sugiyopranoto No. 78, Pontianak 38059, Kalimantan Barat
559	CUST000559	5413664172544580	Tan Tjhung Pok	Ds. Baranang Siang Indah No. 327, Sungai Penuh 87511, Jambi
560	CUST000560	5433267102432260	Rendy Perdana	Jln. Mulyadi No. 430, Merauke 48881, Papua
561	CUST000561	5209894339757050	Bahu Warna Mahendra	Rajawali 179, Pematang siantar  Sumatra utara
562	CUST000562	5242241754031350	Siti Nurdiyanti	Jln. Baing No. 9, Tasikmalaya 97155, Jawa Barat
563	CUST000563	5512555832182850	Genta Husada	Kyai Haji Muwardi  962, Ambon  Maluku
564	CUST000564	4485738208448950	Halim Atmaja	Jln. Baabur Royan No. 561, Balikpapan 
565	CUST000565	5568182379911740	Zizi Rachel Astuti M.TI.	
566	CUST000566	5123616962358720	Rudi Baktianto Prakasa M.Ak	Ds. Pahlawan No. 110, Prabumulih 56896, JaTeng
567	CUST000567	5500099863915OOO	Gasti Nilam Yuliarti M.Kom.	Ki. Otista No. 800, Sukabumi 71048, Banten
568	CUST000568	4916497755002750	Eko Gantar Maryadi S.Ked	Ki. Ciumbuleuit No. 278, Bandung
569	CUST000569	5475021535727150	Rachel A	Ekonomi No. 210 RT 2 RW 8, Pasuruan  Jawa Timur
570	CUST000570	40240071O7685700	Zizi Yulianti	Kpg. Rajawali Timur No. 60, Sorong 68431, NTB
571	CUST000571	4075611918558360	Nadia Purwanti	Jalan Baha No. 165, Padangsidempuan 39417, DKI
572	CUST000572	4485439495749170	Paramita Carla Kuswandari S.Farm	Dk. Tangkuban Perahu No. 985, Ambon 49432, Maluku
573	CUST000573	5374459816832910	T Gadang Suryono	Gg. Jambu No. 811, Sungai Penuh 21373, KalUt
574	CUST000574	5192407456579430	Yulia Pia Permata S.Gz	Jr. Banda No. 636, Tanjung Pinang 45530, Banten
575	CUST000575	5381356793479630	Qori Mulyani	Luwu No. 577, Palopo 15116, Sulawesi Selatan
576	CUST000576	5503747054623440	Oktaviani Yuni	Sutarjo Blok B12 no 503 Batam 
577	CUST000577	4916475907608950	Ketut Wiana	Jl. Monkey Forest, Ubud, Bali
578	CUST000578	4528061539728550	Jelita Rahimah	Gg. Gajah No. 599, Solo 39471, JaTim
579	CUST000579	5285750027210280	Cindy Vanesa Agustina M.Pd	Sukajadi No. 428, Padangpanjang 14663, Sumatera Barat
580	CUST000580	5194720497047420	Anggabaya Maulana	Psr. Abdul Rahmat No. 997, Yogyakarta
581	CUST000581	4412854937087760	Ani Ida Mandasari S.IP	Jln. Baan No. 360, Tebing Tinggi 31421, Riau
582	CUST000582	4024007130732770	Hesti 	Jln. Tbg Ismail No. 295,  Jakarta Selatan 30981, JakSel
583	CUST000583	5305851571743840	Kawaca Napitupulu	Jln. K.H. Maskur No. 368, Surabaya Jatim
584	CUST000584	5250538521391670	Hari Dirdja Wibisono	Jln. Cokroaminoto No. 649, Bitung 91110, Banten
585	CUST000585	4532181623081990	Chandra Yusup	Psr. Jamika No. 878, Batam 30046, Riau
586	CUST000586	5498088515343240	I Nyoman Damar	Jl. Bisma No. 68, Ubud, Bali
587	CUST000587	6011019242787170	Lili Astuti	Jln. Panjaitan No. 382, Malang 63501, JaTim
588	CUST000588	6011245588527180	Oni Nurdi Yanti	Jalan. Bakin 915, Sawahlunto SumBar
589	CUST000589	4024007170418210	Lukita Ega Jailani	Dk. Jend. Sudirman No. 896, Bandar Lampung 69294, Lpg
590	CUST000590	4532762862978300	Vera Victoria Hartati	Gang Kalimalang No 298 Cilegon, Banten
591	CUST000591	5264376342570320	Eman Taswir Simbolon	
592	CUST000592	4485048312919220	Novita Sari Bella	Kpg. Bahagia  Timur No. 185, Palopo 58744, SulSel
593	CUST000593	6011010135093160	Clara Diana Prastuti S.IP	Kep. Tidore, Maluku Utara Gang Salak 482
594	CUST000594	5455165793658810	Adi Situmorang	Jl. Basoka Raya No. 650, Cimahi 90847, Jawa Barat
595	CUST000595	5498088515343240	I Nyoman Damar	Jl. Bisma No. 68, Ubud, Bali
596	CUST000596	5588228266984940	Amalia Unjani Usada	Jalan Sugiono No. 914, Tangerang 63470, Banten
597	CUST000597	55779917349920OO	Ami Rachel Wulandari	Gg. Sugiyopranoto No. 78, Pontianak 38059, Kalimantan Barat
598	CUST000598	5467715091864550	Mana Zulkarnain	Jalan Baung No. 285, Langsa 85710, Aceh
599	CUST000599	KTP5395867930661660	Luluh Anggriawan	Gg. Thamrin No. 559, Ambon 71806, Maluku
600	CUST000600	5405490014300840	Tio Ban Chung	Dk. Rumah Sakit No. 23, Palembang 91530, JaTeng
601	CUST000601	4916440997787310	Junaedi 	Jln. Cikapayang No. 658, Yogyakarta 69067, Aceh
602	CUST000602	4024007149721660	Gina Pratiwi	Kpg. Setiabudhi No. 245, Tangerang 80051, SulTeng
603	CUST000603	5353419476217720	Jasmine Suartini	Pasar WR Supratman No. 23, Batam 27050, Kep Riau
604	CUST000604	4539393063123890	I Nyoman Perkasa	Jalan Tukad Badung 168 C Denpasar – Bali
605	CUST000605	5425146328741730	Waluyo Jatmiko Prasetyo	Pasar Bakti 699 Kupang NTT
606	CUST000606	4485439495749170	Paramita Carla Kuswandari S.Farm	Dk. Tangkuban Perahu No. 985, Ambon 49432, Maluku
607	CUST000607	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
608	CUST000608	5502285300694270	Sakti Pradana	Jln. Jaya No. 753, Payakumbuh 54480, Sumatera Barat
609	CUST000609	4528061539728550	Jelita Rohimah	Gg. Gajah No. 599, Solo 39471, JaTim
610	CUST000610	5162282054974500	Jarwa Salahudin	Kampung Madrasah BB 8 no 719 Jayapura, papua
611	CUST000611	4485048312919220	Bella Novitasari S.Kom	Kpg. Bahagia  Timur No. 185, Palopo 58744, SulSel
612	CUST000612	5455165793658810	Adi Situmorang	Jln Basoka Raya No. 650, Cimahi 90847, Jawa Barat
613	CUST000613	5479864287899780	Marsito Firmansyah	Psr. Bahagia  No. 814, Samarinda 33039, Kalimantan Timur
614	CUST000614	4929273745492110	Dinda Yolanda	Jln. Sudirman No. 468, Payakumbuh 60901, BaBel
615	CUST000615	5207983845051470	Samiah Rahayu	Ds. Padang No. 714, Cilegon 35940, Banten
616	CUST000616	5242241754031350	Siti	Jl Baing No. 9, Tasikmalaya Jawa Barat
617	CUST000617	5561292889969060	Rizki Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
618	CUST000618	5252399824747070	Napitupulu Budi	Psr. Gading No. 904, Sukabumi 89588, Banten
619	CUST000619	4716534685463900	Bahuwirya Jefri Rajasa	Flora No 319 RT/RW 4/5 Sibolga
620	CUST000620	4916440997786410	Junaidi 	Jln. Cikapayang No. 658, Yogyakarta 69067, Aceh
621	CUST000621	5549215284212220	Ratih Rahayu Wastuti M.Kom.	Ki. Jambu No. 29, Tarakan 40779, Kalimantan Utara
622	CUST000622	45327312644866800	I Gede Wayan	Jl. Nangka Selatan No. 163 Denpasar – Bali
623	CUST000623	5130625283796430	Bakda Sitorus	
624	CUST000624	5156998675362530	Cahyadi Ganda	Ds. Merdeka No. 587, Pontianak, Kalimantan Barat
625	CUST000625	5242155075234330	Haryanto Prima	Psr. Cut Nyak Dien No. 872, Pangkal Pinang 56643, Bangka Belitung
626	CUST000626	5401081879464390	Gasti Agustina	Jr. Ketandan No. 121, Tebing Tinggi 36271, Jambi
627	CUST000627	402400713073277	Hesti Iriana Yulianti	Tubagus Ismail  295, Administrasi Jakarta Selatan 30981, JakSel
628	CUST000628	4929471179028710	Vicky Hariyah	Jalan Dahlia nomor 477 Jambi
629	CUST000629	4485024556028240	Nadia Yuniar S.IP	Desa Bata Putih 986, Kupang 49671, Gorontalo
630	CUST000630	4916858561143200	Tania Hafshah Utami	Kpg. K.H. Wahid Hasyim (Kopo) No. 601, Magelang 93204, Jateng
631	CUST000631	4716834641345900	Abbi	Wahidin 966 depan dagadu jogja, Jogjakarta
632	CUST000632	5200650193764610	Novayuliarti	
633	CUST000633	5255753891363310	Oni Yulianti	Dk. Haji No. 480, Tangerang 36130, Banten
634	CUST000634	5234609816983540	Elis N	Wahidin No. 971, Blitar Jawa Timur
635	CUST000635	5498382229499510	Salimah Pertiwi	Jawa Timur, Jalan Baan GH 2/828 Malang
636	CUST000636	5512555832182850	Genta Husada	KH Muwardi  962, Ambon  Maluku
637	CUST000637	4024007105085230	Umaya Waskita	Pasar Muwardi No. 538, Tangerang, Banten
638	CUST000638	55779917349920OO	Ami Rachel Wulandari	Gang Sugiyopranoto No. 78, Pontianak 38059, Kalimantan Barat
639	CUST000639	522952712076UO10	Cahya Putu Setiawan S.I.Kom	Dk. Simpang Tujuh No. 157, Prabumulih 81021, Sumatra Selatan
640	CUST000640	4556475749481890	Olivia Rahayu	Dk. Soekarno Hatta No. 770, Batu 76388, JaBar
641	CUST000641	4716866427869500	Adhi	Sugeng Jeroni 28 Jogjakarta
642	CUST000642	5310842372996320	Capa Gunawan	Gg. Kalimalang No. 33, Banjarmasin 60536, Kalimantan Selatan
643	CUST000643	4716834641345900	Abi	Jalan Wahidin No 966 Jogjakarta
644	CUST000644	5568182379911740	Zizi Rachel Astuti M.TI.	Jr. Pasirkoja No. 644, Administrasi Jakarta Barat 
645	CUST000645	5585234814101620	Cakrawala Permadi	Jln. Laksamana 590, Makassar, Sulawesi Selatan
646	CUST000646	6011219931100860	Clara Yulianti	Ds. Banceng Pondok 626, Banjarbaru 64255, Kalimantan Selatan
647	CUST000647	5306846665376680	Cemani Maheswara	Gg. Moch. Yamin No. 330, Probolinggo 26035, Jatim
648	CUST000648	6011158977332040	Asirwanda Pradana S.Gz	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
649	CUST000649	5475021535727150	Rachel Andriani=y	Ekonomi No. 210 RT/RW 2/8, Pasuruan 75523, Jawa Timur
650	CUST000650	5162282054974500	Jarua Salahudin	Kpg. Madrasah No. 719, Jayapura 36813, Papua
651	CUST000651	4716534685463900	Bahuwirya Jefri Rajasa	Ds. Flora No. 319, Sibolga 51435, SulBar
652	CUST000652	542874854075389O	Dinda Padma Hastuti	Cikutra Barat No. 598, Langsa, Aceh
653	CUST000653	5584413739514990	Ade Ajeng Purwanti S.I.Kom	Jr. Umalas No. 445, Jayapura 20568
654	CUST000654	5543002542159720	Raihan Narji M	Sunaryo No. 140, Pangkal Pinang  Bangka Belitung
655	CUST000655	4556085568899390	Nadya Lintang Agustina	Gg. Kyai Gede No. 483, Sawahlunto 26889, Sumatera barat
656	CUST000656	4485320794748760	Drajat Habibi	Kpg. Jagakarsa No. 675, Cilegon 54605, Banten
657	CUST000657	4024007165484850	Wani Rahimah M.M.	Ds. Baabur Royan No. 360, Palangka Raya 52175, DKI
658	CUST000658	5545986060246580	Nadia Umi Laksmiwati	Gg. Lembong No. 771, Sorong Papua Barat
659	CUST000659	5585234814101620	Tjakrawala Permadi	Jl. Laksamana 590, Makassar, Sulawesi Selatan
660	CUST000660	4716936601849160	Warsa Haryanto S.Psi	Ds. Bayam No. 81, Surabaya 44957, JaTim
661	CUST000661	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
662	CUST000662	5162282054974500	Jarua Salahudin	Madrasah, 8/719 Jayapura
663	CUST000663	5549215284212220	Ratih Rahayu Wastuti M.Kom.	Ki. Jambu No. 29, Tarakan 40779, Kalimantan Utara
664	CUST000664		Eko Gantar Maryadi S.Ked	Ki. Ciumbuleuit No. 278, Bandung
665	CUST000665	3485872948084020	Aisyah Wulandari	Psr. Bakin No. 518, Bogor 41216, BaBel
666	CUST000666	4556226415428850	Vivi Diana Rahimah M.TI.	
667	CUST000667	453968250025613O	Maya Andriani	Ki. Bara No. 898, Kediri
668	CUST000668	5413664172544580	Tan Thung Po	Ds. Baranang Siang Indah No. 327, Sungai Penuh 87511, Jambi
669	CUST000669	6011160061976250	Soleh Santoso	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
670	CUST000670	5232OO4348404420	Halimah Mardiyah	Basoka no 309 Blitar Jawa Timur
671	CUST000671	5454836293205520	Tantri Genta Lailasari, S.IP	Psr. Ketandan No. 648, Padangpanjang, SumBar
672	CUST000672	4539604112909270	Respati Prasetya	Diponegoro No. 171, Probolinggo 57006, Jawa Timur
673	CUST000673	4916546054862340	Cayadi Winarno M.TI.	Psr. Kebangkitan Nasional No. 642, Padangsidempuan 95481, SumUt
674	CUST000674	4556182077267580	Vega Ardianto	Bukit tinggi, Gg. Kali 383
675	CUST000675	5523559464675060	Mayasari Agnes Faizah	Jln. Reksoninten 241, Kediri Jawa Timur
676	CUST000676	4024007165484850	Wani Rahimah M.M.	Ds. Baabur Royan No. 360, Palangka Raya 52175, DKI
677	CUST000677	5457906329359260	Baktiadi Situmorang	Jalan Baranang Siang No. 189, Singkawang  Kalimantan
678	CUST000678	5124567316757880	Olga Tampubolon	Ds. Sutami No. 67, Sungai Penuh 75979, Bali
679	CUST000679	4716557588698410	Onidina Pertiwi	Ki. Basoka Raya No. 111, Bogor
680	CUST000680	6011208504813050	Clara Yulianti	Komplek Pelajar Pejuang 45 / 577, Pangkal Pinang 35771, Bangka Belitung
681	CUST000681	4716534685463900	Bahuwirya Jefri Rajasa	Ds. Flora No. 319, Sibolga 51435, SulBar
682	CUST000682	5568182379911740		Jr. Pasirkoja No. 644, Administrasi Jakarta Barat 
683	CUST000683	4539393063123890	I Nyoman Perkasa	Jalan Tukad Badung 168 C Denpasar – Bali
684	CUST000684	5507201437748440	Sabrina Handayani	Ki. Baranangsiang No. 771, Pematangsiantar 40651, Aceh
685	CUST000685	4024007170418210	Lukita Ega Jailani	Jendral Sudirman No. 896, Bd Lampung 69294, Lampung
686	CUST000686	5400476050223110	Elvin Kardi Prasetya M.Ak	Bandar Lampung
687	CUST000687	5413664172544580	Tan Cung Po	Ds. Baranang Siang Indah No. 327, Sungai Penuh 87511, Jambi
688	CUST000688	5391026601115900	Pramata Kania	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
689	CUST000689	4916546054862340	Cayadi Winarno M.TI.	Psr. Kebangkitan Nasional No. 642, Padangsidempuan 95481, SumUt
690	CUST000690	5531142200907990	Shania Pujiastuti	Desa Bappenas  900, Banjar Jawa Barat
691	CUST000691	5295994750697000	Eka Pradana	Kpg. Madiun No. 67, Administrasi Jakarta Pusat
692	CUST000692	4024007130386880	Safina Uyaina	Wahid No. 127, Prabumulih 97322, NTT
693	CUST000693	523235434840442O	Halimah Mardiah	Basoka 309 B12 Blitar Jawa Timur
694	CUST000694	4716934641345900	Abi	Wahidin 966, Daerah Istimewa Yogyakarta
695	CUST000695	5126480855572470	Irnanto Suryono S.I.Kom	Gg. Tubagus Ismail No. 848, Administrasi Jakarta Timur
696	CUST000696	5242241754031350	Siti Nurdiyanti	Jalan Baing No. 9, Tasikmalaya Jawa Barat
697	CUST000697	5479864287899780	Marsitto Firmansyah	Psr. Bahagia  No. 814, Samarinda 33039, Kalimantan Timur
698	CUST000698	5123616962358720	Rudi Baktianto Prakasa M.Ak	Desa Pahlawan No 110, Prabumulih
699	CUST000699	5543002542159720	Raihan Narji Maryadi	Dk. Sunaryo No. 140, Pangkal Pinang Bangka Belitung
700	CUST000700	5310842372996320	Capa Gunawan	Gg. Kalimalang No. 33, Banjarmasin 60536, Kalimantan Selatan
701	CUST000701	5576267396681980	Mahdi Budi Yanto	Jl. Tentara Pelajar No. 658 RT 7/8, Solok Sumatera barat
702	CUST000702	4485738208448950	Atmaja Halim	Jln. Baabur Royan No. 561, Balikpapan , Kalimantan Timur
703	CUST000703	5414991088771110	Iksan Suwarna	Ki. Dahlia No. 543, Madiun 25474, JaTim
704	CUST000704	5156998675362530	Cahyadi	Ds. Merdeka No. 587, Pontianak, Kalimantan Barat
705	CUST000705	4075611918558360	Nadia Rina Purwanti	Baha No. 165, Padangsidempuan 39417, DKI
706	CUST000706	5461008152511090	Hesti Anggraini	Kampung Dipatiukur No. 174, Cimahi  Jawa Barat
707	CUST000707	5180118689700000	Rahayu Olivia H	Ds. Badak No. 359, Madiun, Jatim
708	CUST000708	4716350372213130	Rina Yance Uyainah	Dk. Labu No. 17, Medan Sumatera Utara
709	CUST000709	523235434840442O	Halima Mardia	Blitar Jawa timur
710	CUST000710	4716232276376110	Ratna Ade Purwanti S.H.	Kpg. Madiun No. 837, Palembang 98610, SumSel
711	CUST000711	5161156836370260	Fitriyani Hasanah	Jr. Banda No. 42, Palu 91144, Sulteng
712	CUST000712	4024007162691070	Maras Putra	Raden No. 527, Pekalongan 93952, SulBar
713	CUST000713	5548040671917160	Diana Andriani	
714	CUST000714	5512555832182850	Genta Husada	Jalan Kyai Haji Muwardi Nomor 962, Ambon 92429, Maluku
715	CUST000715	5353419476217720	Suartini Jasmin	WR Supratman No. 23, Batam 27050, Kep Riau
716	CUST000716	5549215284212220	Ratih Rahayu Wastuti M.Kom.	Ki. Jambu No. 29, Tarakan 40779, Kalimantan Utara
717	CUST000717	5495214942928330	Nyoman Damar Prasetya	Jend. A. Yani No. 661, Banjar 74899, Jawa Barat
718	CUST000718	5493961324104720	Upik Wisnu Pranowo S.IP	Gg. Gajah No. 833, Bengkulu
719	CUST000719	4916546054862340	Cayadi Winarno M.TI.	Psr. Kebangkitan Nasional No. 642, Padangsidempuan 95481, SumUt
720	CUST000720	4423330424853730	Mulyanto Putra S.E.I	Antapani Lm 758, Yogyakarta 
721	CUST000721	5588228266984940	Amalia Unjani Usada	Jln. Sugiono 914, Tangerang 63470, Banten
722	CUST000722	5568182379911740	Zizi Rachel Astuti M.TI.	Jr. Pasirkoja No. 644, Administrasi Jakarta Barat 
723	CUST000723	4081427725150560	Gawati Wijayanti	Psr. Tubagus Ismail No. 119, Tanjung Pinang 47202, Maluku
724	CUST000724	5454836293205520	Tantri Genta Lailasari, S.IP	Psr. Ketandan No. 648, Padangpanjang, SumBar
725	CUST000725	5409162640301140	Lim Siau Khe	Pasar Suryo Pranoto No. 905, Sungai Penuh 23413, Jambi
726	CUST000726	402400717041821O	Lukita Jailani Ega	Dk. Jendral Sudirman No. 896, Bandar Lampung 69294, Lampung
727	CUST000727	4024007130386880	Safina 	Prabumulih  NTT
728	CUST000728	5264761669081100	Cayadi Januar	Imam Bonjol 707 Makassar
729	CUST000729	4412854937087760	Ani Ida Mandasari S.IP	Jln. Baan No. 360, Tebing Tinggi 31421, Riau
730	CUST000730	4024007111906230	Paulin Tami Yuliarti	Arifin 432, Banjarbaru, KalTim
731	CUST000731	4485297842393740	Usman Habibi	
732	CUST000732	5548040671917160	Diana Andriani	
733	CUST000733	5110303660585720	Clara Wijayanti	DKI Jakarta
734	CUST000734	5128376927778700	Opan Hutasoit	Kampung Babakan 
735	CUST000735	4567052743194440	Jessica Purnawati M.Ak	Psr. Radio No. 450, Malang
736	CUST000736	5405425066528700	Lim Siaw Po	Sentot Alibasa No 324 RT 9 Ternate Maluku Utara
737	CUST000737	4556085568899390	Nadia Lintang Agustina	Kyai Gede 483 Sumatra Barat, Kota Sawahlunto
738	CUST000738	5385764714795100	Kencono	Jl. Dr Wahidin Sudirohusodo 48-A RT 019/05
739	CUST000739	5414629215050580	Ghani Jagaraga Sitorus	Kpg. Gedebage Selatan No. 299, Makassar 71776, SulSel
740	CUST000740	4445834100535960	Kemba Jagaraga	Jendral Yos Sudarso 488 Probolinggo
741	CUST000741	6011010135093160	Clara Diana Prastuti S.IP	Salak 482 Kep Tidore Maluku Utara
742	CUST000742	6011245588527180	Oni Nurdi Yanti	Jalan. Bakin 915, Sawahlunto SumBar
743	CUST000743	5495214942928330	Nyoman Damar Prasetya	Jend. Ahmad Yani No. 661, Banjar Jawa Barat
744	CUST000744	5385764714795100	Kencono	Jl. Dr Wahidin Sudirohusodo Blok 48-A RT 019/06 DI Jogjakarta
745	CUST000745	6011234314231560	Karsa S	Jalan Ki. Abdul No. 401, Ternate  Maluku Utara
746	CUST000746	6011160061976250	Soleh Santoso	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
747	CUST000747	5332639317878030	Rusmana Hutasoit	Dk. Basuki No. 348, Dumai 85252, Jambi
748	CUST000748	4024007105085230	Umaya Waskito	Pasar Muwardi 538, Tangerang Selatan 26590
749	CUST000749	402400717041821O	Lukita Jailani Ega	Dk. Jenderal Sudirman 896, Bandar Lampung 69294, Lampung
750	CUST000750	5225743003513970	Almira M	Samarinda, Desa Antapani Lama RT 8 No 761 
751	CUST000751	53018316520757SO	Kania Widiastuti	Kpg. Orang No. 210, Sibolga 98637, SulTra
752	CUST000752	5353419476217720	Jasmin Suartini	Pasar W.R. Supratman No. 23, Batam 27050, Kep Riau
753	CUST000753	4341617033845740	Pranawa Pranowo	Gg. Ketandan No. 292, Balikpapan 53215, Bengkulu
754	CUST000754	4412854937087760	Ani Ida Mandasari S.IP	Jln. Baan No. 360, Tebing Tinggi 31421, Riau
755	CUST000755	4532751137432220	I Gede Perkasa	Jl. Tukad Badung 168 C Denpasar – Bali
756	CUST000756	5455165793658810	Adi Situmorang	Jalan Basoka Raya No. 650, Cimahi 90847, Jawa Barat
757	CUST000757	4916138049100240	Gumelar	Jl.Cemara No.28A Randubelang, Sewon Yogyakarta
758	CUST000758	5258132833092430	Henri Atmajaya	Jalan Taman Margasatwa no 12 Jakarta Selatan
759	CUST000759	5301831652075TSO	Kania Widiastuti	Kpg. Orang No. 210, Sibolga 98637, SulTra
760	CUST000760	6011245588527180	Oni Nurdiyanti	Jl Bakin No. 915, Sawahlunto SumBar
761	CUST000761	4024007165484850	Wani Rahimah M.M.	Ds. Baabur Royan No. 360, Palangka Raya 52175, DKI
762	CUST000762	5440093893953600	Aswani Aditya Tamba S.Pd	Bagonwoto  No. 970, PalangkaRaya 48561, KalTeng
763	CUST000763	5364642336259190	Elis Harianti	Dk. Nanas No. 870, Cimahi 65113, Jabar
764	CUST000764	5505004834695600	Latupono, Lantar G	Psr. Muwardi No. 682, Bau-Bau 77977, Sulawesi Tenggara
765	CUST000765	5449924520294580	Jail G	Psr. Kyai Gede No. 542, Banjarbaru 10298, Kalimantan selatan
766	CUST000766	5124860017913840	Pujiati Mila Piya	Laswi 353, Tangsel 15338 Banten
767	CUST000767	5414776730028510	Ilyas Emong Sirait S.IP	Ki. Abdul Muis No. 196, Madiun 25937, SulBar
768	CUST000768	5347353885442180	Restu Fujiati	Ds. B.Agam 1 No. 779, Administrasi Jakarta Barat
769	CUST000769	5199644351019250	Pudji Aryani	
770	CUST000770	5211654496507300	Annita 	Hang No 910, Pekan baru Riau
771	CUST000771	5401081879464390	Gasti Agustina	Tebingtinggi Jambi
772	CUST000772	4716483364O92100	Keisha Genta Mandasari	Ds. Pelajar Pejuang 45 No. 247, Bandung 79279, DKI
773	CUST000773	4916138049100240	Gumilar	Jl.Cemara No.28A Randubelang, Sewon Yogyakarta
774	CUST000774	5295994750697000	Eka Pradana	Kpg. Madiun No. 67, Administrasi Jakarta Pusat
775	CUST000775	4024007130386880	Safina Uyainah	Desa Wahid No. 127, Prabumulih 97322, NTT
776	CUST000776	5264761669081100	Cahyadi Yanuar	Jalan Imam Bonjol No 707 Sulawesi Selatan
777	CUST000777	5467422222025940	Maya Yuliana Suryatmi S.Gz	Jln. Banceng Pondok No. 598, Yogyakarta 38591, JaTeng
778	CUST000778	492942728846532O	Oman Marbun	Basoka Raya No. 559, Administrasi Jakarta Timur
779	CUST000779	5594413739514990	Ade Ajeng Purwanti S.I.Kom	Jr. Umalas No. 445, Jayapura 20568, Papua
780	CUST000780	5194720497047420	Anggabaya Maulana	Psr. Abdul Rahmat No. 997, Yogyakarta
781	CUST000781	4716232276376110	Ratna Ade Purwanti S.H.	Kpg. Madiun No. 837, Palembang 98610, SumSel
782	CUST000782	5124860017913840	Milla Piya P.	Tangerang Selatan, Laswi 353 dekat Sekolahan
783	CUST000783	5250538521391670	Hadi Dirjo Wibisono	Jln. Cokroaminoto No. 649, Bitung 91110, Banten
